MIU,FORC,TATM,TOCEAN,MAT,MU,ML,E,EIND,C,K,CPC,I,S,RI,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCA,PERIODU,CPRICE,CEMUTOTPER
1.2000,4.0094,3.2312,1.4095,1075.3308,2301.4024,10052.3556,-29.4025,-29.4065, 781.6423,2757.5082, 74.8696,255.9736,0.2467,0.0298,1037.6159,1081.8568,1051.6978,30.1590,0.0279,14.0819,223.4720,1129.2126,0.9035,223.4720,1010.9886
1.2000,3.7669,3.1697,1.4550,1028.8104,2305.4605,10054.7164,-29.5834,-29.5867, 822.4084,2908.1490, 78.7140,269.6409,0.2469,0.0296,1092.0493,1136.3472,1105.8632,30.4839,0.0268,13.8139,217.8852,1089.1055,0.9106,217.8852, 946.5613
1.2000,3.5356,3.0944,1.4979, 986.2924,2305.2599,10057.0866,-29.7358,-29.7384, 864.4218,3065.4376, 82.6802,283.7044,0.2471,0.0293,1148.1262,1192.1423,1161.6638,30.4784,0.0256,13.5377,212.4381,1048.7527,0.9175,212.4381, 885.8212
1.2000,3.3144,3.0081,1.5378, 947.3005,2301.3267,10059.4555,-29.8578,-29.8599, 907.5506,3228.6324, 86.7554,298.1275,0.2473,0.0289,1205.6781,1249.1093,1218.9312,30.1781,0.0242,13.2531,207.1271,1008.1929,0.9240,207.1271, 828.5995
1.2000,3.1028,2.9132,1.5745, 911.4228,2294.1236,10061.8138,-29.9483,-29.9499, 951.6758,3397.1127, 90.9282,312.8744,0.2474,0.0286,1264.5502,1307.1298,1277.5109,29.6189,0.0227,12.9608,201.9490, 967.4675,0.9302,201.9490, 774.7349
1.2000,2.8998,2.8117,1.6080, 878.3028,2284.0581,10064.1532,-30.0069,-30.0082, 996.6874,3570.3329, 95.1877,327.9099,0.2476,0.0282,1324.5973,1366.0951,1337.2586,28.8365,0.0211,12.6613,196.9002, 926.6192,0.9362,196.9002, 724.0711
1.2000,2.7050,2.7054,1.6381, 847.6317,2271.4899,10066.4667,-30.0335,-30.0346,1042.4820,3747.7954, 99.5241,343.2001,0.2477,0.0278,1385.6821,1425.9027,1398.0378,27.8649,0.0195,12.3557,191.9777, 885.6915,0.9419,191.9777, 676.4551
1.2000,2.5175,2.5955,1.6648, 819.1416,2256.7365,10068.7480,-30.0286,-30.0295,1088.9622,3929.0363,103.9278,358.7118,0.2478,0.0274,1447.6740,1486.4549,1459.7187,26.7362,0.0180,12.0447,187.1783, 844.7278,0.9473,187.1783, 631.7374
1.2000,2.3370,2.4832,1.6881, 792.5998,2240.0791,10070.9916,-29.9927,-29.9934,1136.0355,4113.6159,108.3900,374.4127,0.2479,0.0271,1510.4482,1547.6579,1522.1777,25.4802,0.0165,11.7295,182.4988, 803.7711,0.9524,182.4988, 589.7718
1.2000,2.1627,2.3694,1.7079, 767.8042,2221.7669,10073.1929,-29.9265,-29.9271,1183.6151,4301.1125,112.9022,390.2705,0.2480,0.0267,1573.8856,1609.4209,1585.2965,24.1244,0.0150,11.4110,177.9364, 762.8636,0.9573,177.9364, 550.4158
1.2000,1.9943,2.2549,1.7245, 744.5789,2202.0211,10075.3476,-29.8311,-29.8315,1231.6196,4491.1163,117.4566,406.2522,0.2480,0.0263,1637.8718,1671.6555,1648.9620,22.6935,0.0136,11.0902,173.4879, 722.0465,0.9620,173.4879, 513.5307
